Id;Name
1347;Дорофеев Г.В., Потапов М.К., Розов Н.Х.
59;Линдер И.Б., Чуркин С.А.
1178;Авербух А.Я., Богушевская К.К.
1549;Клишко Зенон.
5;Крестов Г.А., Кобенин В.А.
315;Бабко А.К., Пятницкий И.В.
1410;Арсеньева М.Г., Гасилевич Е.В., Замбржицкая А.А., Терешенкова Р.А., Цыганкова И.А.
266;Борисов Ю.Б., Борисова Л.В.
128;Ступин Ю.В., Семененко В.А.
1370;Ландау Л.Д., Лифшиц Е.М.
1653;Ковшарь А.Ф., Кубыкин Р.А., Левин А.С., Мазин В.Н.
1125;Королев А.Н., Жохов В.П.
1713;Перегудова З.И.
2057;Гришин И.А., Емельянов М.Г.
423;Клаусс Г., Мойзель Г.
1260;Журба Ю.И., Шпольский М.Р.
689;Машьянова Г.К., Шушакова Г.П., Аферина А.Е., Анкудинова З.И.
1301;Драгунский Д.А., Пивовар Ю.И., Ткач С.И., и др.
573;Пашуто В.Т., Корецкий В.И., Преображенский А.А., и др.
529;Михеев А.М., Ефимова Н.В., Петров Ю.А.
1895;Терещенко А.С., Вдовин А.
1755;Янковский М., Янковский Ю., Янковский В.
591;Постникова-Лосева М.М., Платонова Н.Г., Ульянова Б.Л.
1511;Банников А.Г., Флинт В.Е.
1060;Ильф И., Петров Е.
1175;Лисянский Б.Г., Ладыгина Г.Г.
1295;Байнхауэр Х., Шмакке Э.
920;Аверченко А.Т., Тэффи Н.А.
575;Колчин Б.А., Янин В.Л., Ямщиков С.В.
324;Болтянский В.Г., Сидорин Ю.В., Шабунин М.И.
1271;Эмануэль Н.М., Кнорре Д.Г.
1652;Гиллебранд В.Ф., Лендель Г.Э., Брайт Г.А., Гофман Д.И.
1881;Мелтон К., Уоллес Р., Шлезингер Г.
1938;Арешидзе Л.Г., Крупянко М.И., Крупянко И.М.
1130;Галушин В.М., Дроздов Н.Н., Ильичев В.Д., и др.
924;Вендровский К.В., Шашлов Б.А.
1891;Курдюмов Н.И., Железов В.К.
160;Иноземцев В.В., Зотова З.Я.
1677;Александров Б.И., Лурье М.В., Максимов В.М.
919;Хэнкок Г., Бьювэл Р., Григзби Д.
1364;Нестеренко Ю.В., Олехник С.Н., Потапов М.К.
1684;Левадный В.С., Черный Ю.А.
1287;Сахаров А.Н., Троицкий С.М.
679;Ануфриев В., Кириллова Г., Кикнадзе Н.
1328;Векслер В.И., Мельтева Н.Н., Михайлова В.Н., Хавин З.Я.
181;Хорват Ф., Орлик Ю.
1161;Спурис З., Шмит В.
1186;Сотникова М.П., Спасский И.Г.
1769;Ермаков С.Э., Гаврилов Д.А.
1735;Борисовский Н.Я., Галушенко В.Т., Стеценко В.М., Держаков Н.В.
1391;Анисимов Л.А., Буторин Е.И., Гончаров Г.А., и др.
1516;Крылов Г.В., Юдин Б.С.
1305;Вейзе А.А., Харитонов В.С.
1476;Кобрин В.Б., Леонтьева Г.А., Шорин П.А.
1253;Домашева А.Д., Дроздова Т.Н.
964;Углов Ф.Г., Дроздов И.В.
1841;Павленко В.Н., Таглин С.А.
316;Васильева З.Г., Грановская А.А., Макарычева Е.П., Таперова А.А., Фриденберг Е.Э.
1526;Глазунов Н.К., Никитин Н.С.
592;Шакурова Е.В., Костина И.Д., Коварская С.Я.
752;Аргунов Б.И., Балк М.Б.
528;Второв П.П., Дроздов Н.Н.
1436;Шпиленя С.Е., Иванов С.И.
632;Флеров В., Зобачев И.
572;Валеев Ф.Т., Томилов Н.А.
1003;Гвоздецкий Н.А., Игнатьев Г.М., Михайлова Л.А.
559;Тарас А.Е., Заруцкий Ф.Д.
1273;Уайзер Г.М., Фоломкина С.К., Климентенко А.Д.
1872;Денисон Э., Стюарт Й.
1384;Зинченко В.П., Мунипов В.М.
1374;Троянская Е.С., Герман Б.Г.
412;Кузьмин Н.Ф., Рыбанин А.И.
1906;Прозоров Л.Р., Калинкина Е.А.
71;Рыженко В.И., Теличко А.А., Юров В.И.
959;Девекин В., Белякова Л., Розен Е.
372;Кайсаров А.С., Глинка Г.А., Рыбаков Б.А.
1367;Краснов М.Л., Киселев А.И., Макаренко Г.И.
1375;Ильин В.А., Позняк Э.Г.
1714;Перегудова З.И.
713;Бэггет Д., Клейн Ш.Э.
1501;Беме Р.Л., Кузнецов А.А.
1863;Махлаюк А., Негин А.
1346;Тенсон И.А., Войтова Г.А.
1146;Дандалеев М.А., Луконин В.Г.
1641;Достоевский Ф.М., Достоевская А.Г.
1399;Гутер Р.С., Янпольский А.Р.
548;Колпакиди А., Прохоров Д.
292;Алексеев С.В., Инков А.А.
178;Бадак А.Н., Войнич И.Е., Волчек Н.М., и др.
381;Автократова М.И., Буганов В.И.
1427;Горфункель А.Х., Николаев Н.И.
1393;Гжанянц Э.М., Стабурова Л.Г.
1348;Анцев В.Г., Доброславский А.С.
1122;Ильин В.А., Садовничий В.А., Сендов Б.Х.
327;Омельченко Л.Н., Тихонов А.Ф., Шевякова Д.А.
1390;Новицкая Т.М., Кучин Н.Д.
999;Бубнов И.Н., Каманин Л.Н.
11;
1158;Седов В.В.
1208;Мариковский П.И.
1907;Фроянов И.Я.
1968;Алексеев С.Т.
1791;Язов Д.Т.
623;Назаренко Н.Ф.
791;Егоров Ф.И.
567;Кирпичников В.
675;Маранин И.
1835;Швейковская Е.Н.
1943;Андреев П.Х.
703;Каст Ф.К., Кристин Каст
1490;Гареев М.А.
634;Дмитрук М.А.
553;Рубцов В.Г.
624;Марков Г.М.
545;Дениц К.
1039;Комар И.В.
312;Янович В.С.
990;Магалиф Ю.М.
1387;Хаит Ф.С.
272;Волков А.М.
1481;Кузнецов А.А.
291;Больных А.Г.
1910;Хокинг С.
620;Вилох Э.
1928;Dan Brown
287;Клинге А.
698;Ханке Х.
2063;Кавашима Р.
1627;Емельянов Н.В.
1813;Яров С.В.
696;Гоголь Н.В.
1445;Кириллов В.В.
265;Драгунский В.Ю.
1095;Ковальчук В.М.
212;Леонтьев М.
1396;Вахмистров В.В.
1249;Мадер Ю.
1805;Кара-Мурза С.Г.
8;Пресняков В.В.
1686;Воронина Т.
879;Алтаев Ал.
684;Лихонос Ф.Д.
1378;Агачев П.Е.
524;Натрошвили Т.Г.
196;Матвеев В.
438;Престон-Мэфем К.
1565;Периханян А.Г.
1058;Мельников П.И., Андрей Печерский
1049;Мельников П.И., Андрей Печерский
418;Елкина А.С.
1472;Афанасьев А.Н.
813;Казначеев В.П.
1409;Воронов Ю.Н.
908;Шишков В.Я.
1634;Ашрафян К.З.
853;де Сервантес Мигель.
944;Морозов К.В.
2022;Фокс К.
918;Драйзер Т.
1738;Ляховский А.А.
1636;Абд ар-Рахман ал-Джабарти
1220;Мантейфель П.А.
344;Мещеряков А.Н.
508;Сесютченков М.А.
1972;Ронге М.
1625;Морган Л.Г.
1601;Мухамадиев А.Г.
1680;Jaromir Neumann
354;Вагнер Г.К.
115;Поттер Г.
1542;Ситников Л.А.
87;Прозоров Л.Р.
154;Дворкин А.Л.
1380;Клетник Д.В.
1826;Клягин А.П.
1028;Рыжих Н.Ф.
1119;Азаров В.Б.
1017;Чачко А.Г.
342;Элебрахт Петер.
279;Сладков Н.И.
1210;Retman B., Retman R.
1493;Фомин А.В.
1215;Куценков А.А.
1664;О'Генри
1901;Козлов П.К.
638;Акимушкин И.И.
1737;Макаревич Э.Ф.
927;Успенский Г.И.
1233;Герасимов Ю.А.
2052;Квачков В.В.
1310;Черняк Е.
2000;Кричевский Н.А.
1156;Бунин И.А.
1836;Акунов В.В.
1498;Бабаджанян А.Х.
175;Лец С.Е.
1019;Рони-старший Ж.
1297;Латышев И.А.
1605;Петерс Б.Г.
110;Алексин А.Г.
1853;Тофилд Саймон.
1981;Олейников А.В.
1321;Волынский Л.Н.
259;Приходько В.
955;Кабалевский Д.
1389;Румшинский Л.З.
280;Сунь-цзы
248;Шалыгин В.В.
1848;Эллис Ш.
1614;Пессель М.
